13100,14679,8698
6399,8698,22908
6399,15874,4274
13100,6399,19917
13100,9990,16981
9990,8698,8845
17295,6399,27198
19917,8698,4722
13100,17295,24960
17295,9990,24082
19917,9990,25391
13100,13100,25292
17295,14679,23844
6165,10629,19885
22116,14679,24065
15874,14679,23947
22908,9990,10048
6399,27198,18301
17295,27198,22882
20864,6399,3264
22882,4722,16787
6215,26668,19473
19917,18301,6578
15874,9990,4242
24960,4274,11055
8851,14679,20793
17295,22116,13948
17295,15874,22148
4274,22882,3608
6399,4242,14066
4274,14679,18656
25391,4722,20284
22116,9990,27088
10048,24065,7607
25391,18301,23232
6399,6399,20864
20864,24065,11336
14679,14679,8851
24960,3466,17834
23844,19917,31400
2372,8698,2324
19885,1428,13944
3264,22148,30877
6958,9990,1857
6192,22882,16107
31510,23232,9900
31400,3466,11042
24082,24082,19018
27198,14679,26668
18130,22882,18876
19885,3608,26591
19010,19885,28107
4722,19018,779
24082,25391,26549
24960,20162,4040
22908,14679,8153
16981,31400,4071
4242,25883,2672
23232,23232,28889
20162,15874,5651
20789,13810,16737
4242,9990,21595
17962,22908,25987
4040,20864,7726
27088,28603,8601
27198,27895,12552
11055,26549,29513
24082,22116,27461
26668,18876,22557
15874,8698,14867
20162,9990,5774
14679,9990,22116
5651,9332,17182
1191,20284,27405
23232,13395,23582
23232,21998,17442
24960,24082,28603
26549,14066,703
13948,24082,4833
6399,25292,16516
26591,19885,6312
13810,28603,20297
9990,9990,23426
20793,18301,27343
13810,22908,10178
12285,16680,7332
22148,14679,30449
29513,5774,4769
13948,27198,16778
11055,24082,1222
16516,27088,6634
14055,22882,16052
8601,24065,8265
3264,21967,20755
2324,20793,23489
13100,24082,15184
24082,9990,19850
6399,14679,10629
25001,22882,15051
2793,26668,22891
4242,22148,26282
18130,26632,30995
18640,8698,2219
23582,1375,22412
18301,18301,6531
9900,4722,6162
27343,20755,19357
26700,2801,18448
24082,13944,11405
27198,4274,28859
12331,14679,12128
10804,27088,2162
23232,779,15424
15424,8845,29188
13603,26729,13884
30995,4722,2861
8732,22882,16887
24082,8698,320
6215,4722,2203
5651,13810,21926
23844,9990,9541
20864,20864,13810
26083,9990,23104
6399,779,28849
11055,17442,15240
14055,19018,30170
27343,8845,13995
2801,24056,22187
18280,24415,10736
8477,24960,12723
320,9990,19387
27343,22148,27500
24960,27343,6061
24415,21967,232
20162,19850,26632
22148,19387,20612
19010,13944,26532
23947,19850,20943
29342,29342,29264
16787,21595,6175
24082,27461,25726
30372,7870,27547
13948,28849,11967
14867,27461,24898
22268,24713,22552
24065,14660,13119
28603,19917,22867
11042,11042,22825
19722,9990,16226
28889,26549,8708
320,19018,6621
23947,23232,16382
11055,14066,23146
23648,22882,3954
7870,8698,19757
16981,6215,24892
2219,8698,26259
12723,19387,11845
8851,22908,1612
26532,8698,8138
22867,10048,2756
6167,6167,29056
16749,16749,17431
1740,13137,3818
6399,6312,18743
19323,18301,11652
15184,19387,18683
23232,23426,23660
20612,27343,22794
5651,14699,30671
13257,779,4612
